geneID,KO
TRINITY_DN122910_c0_g1,K07532
TRINITY_DN118326_c0_g1,K11413
TRINITY_DN111883_c0_g1,K13912
TRINITY_DN122223_c0_g2,K15363
TRINITY_DN118978_c0_g1,K04730
TRINITY_DN118210_c0_g1,K19348
TRINITY_DN120993_c0_g1,K09533
TRINITY_DN104370_c2_g2,K12385
TRINITY_DN120557_c3_g2,K10380
TRINITY_DN100765_c0_g1,K07377
TRINITY_DN112897_c1_g1,K00021
TRINITY_DN120457_c0_g1,K06058
TRINITY_DN118342_c0_g2,K18423
TRINITY_DN120867_c0_g1,K06111
TRINITY_DN116737_c3_g1,K20631
TRINITY_DN116204_c0_g3,K09406
TRINITY_DN117979_c0_g1,K11860
TRINITY_DN118885_c0_g3,K24254
TRINITY_DN121413_c0_g1,K23939
TRINITY_DN116318_c0_g2,K10380
TRINITY_DN115375_c2_g1,K09228
TRINITY_DN120126_c0_g1,K08269
TRINITY_DN122255_c1_g1,K16468
TRINITY_DN121748_c0_g2,K12488
TRINITY_DN115810_c0_g1,K08437
TRINITY_DN123388_c2_g5,K06560
TRINITY_DN118988_c0_g1,K14157
TRINITY_DN115677_c0_g1,K06584
TRINITY_DN111665_c0_g1,K17335
TRINITY_DN112831_c5_g2,K21440
TRINITY_DN118126_c0_g1,K12316
TRINITY_DN114234_c0_g1,K04352
TRINITY_DN121171_c0_g1,K06530
TRINITY_DN119129_c0_g1,K10661
TRINITY_DN121641_c0_g9,K16719
TRINITY_DN110200_c0_g1,K09228
TRINITY_DN122097_c3_g1,K04671
TRINITY_DN121166_c0_g3,K02332
TRINITY_DN121076_c1_g3,K19605
TRINITY_DN116293_c0_g2,K13096
TRINITY_DN113012_c0_g1,K09232
TRINITY_DN108321_c0_g1,K11224
TRINITY_DN85700_c0_g1,K24682
TRINITY_DN117216_c0_g1,K17583
TRINITY_DN120475_c0_g2,K16677
TRINITY_DN122515_c1_g1,K04593
TRINITY_DN117322_c0_g1,K05849
TRINITY_DN112363_c0_g1,K06618
TRINITY_DN116948_c0_g1,K10905
TRINITY_DN94452_c0_g1,K24496
TRINITY_DN117479_c1_g2,K05730
TRINITY_DN114545_c1_g4,K05849
TRINITY_DN116954_c0_g1,K16273
TRINITY_DN121823_c0_g1,K05546
TRINITY_DN123230_c1_g1,K22754
TRINITY_DN115923_c0_g2,K23209
TRINITY_DN112065_c0_g3,K12619
TRINITY_DN114545_c1_g4,K05849
TRINITY_DN122905_c1_g3,K04437
TRINITY_DN122728_c0_g1,K20915
TRINITY_DN117276_c0_g2,K12076
TRINITY_DN111765_c0_g1,K18740
TRINITY_DN11782_c0_g2,K24682
TRINITY_DN119357_c1_g7,K16602
TRINITY_DN118378_c1_g4,K15162
TRINITY_DN120862_c0_g2,K05665
TRINITY_DN119319_c0_g2,K06265
TRINITY_DN116000_c0_g1,K15201
TRINITY_DN109342_c0_g1,K05631
TRINITY_DN110044_c0_g1,K09228
TRINITY_DN117103_c0_g1,K24032
TRINITY_DN117498_c0_g1,K19326
TRINITY_DN121241_c1_g1,K08582
TRINITY_DN116999_c0_g7,K17530
TRINITY_DN114186_c2_g1,K04970
TRINITY_DN121768_c0_g5,K00888
TRINITY_DN101883_c0_g1,K22285
TRINITY_DN120952_c0_g2,K24818
TRINITY_DN115671_c0_g1,K17535
TRINITY_DN111641_c0_g2,K00629
TRINITY_DN117457_c1_g1,K05849
TRINITY_DN144942_c0_g1,K10645
TRINITY_DN200244_c0_g1,K25165
TRINITY_DN119647_c0_g1,K15711
TRINITY_DN110523_c0_g1,K04437
TRINITY_DN120086_c0_g1,K25648
TRINITY_DN123143_c2_g1,K01116
TRINITY_DN104965_c0_g1,K12604
TRINITY_DN119285_c0_g1,K24510
TRINITY_DN120260_c0_g1,K10397
TRINITY_DN120332_c2_g2,K20636
TRINITY_DN117918_c3_g1,K21843
TRINITY_DN122404_c1_g2,K16541
TRINITY_DN119773_c0_g1,K10406
TRINITY_DN117317_c0_g1,K05619
TRINITY_DN114403_c0_g1,K23625
TRINITY_DN104180_c0_g1,K05849
TRINITY_DN118066_c0_g1,K03351
TRINITY_DN114547_c0_g1,K06709
TRINITY_DN102056_c0_g1,K17710
TRINITY_DN116643_c0_g1,K14353
TRINITY_DN111903_c0_g1,K10609
TRINITY_DN111689_c0_g1,K15009
TRINITY_DN116260_c0_g1,K16831
TRINITY_DN98711_c0_g1,K18437
TRINITY_DN115676_c0_g1,K10638
TRINITY_DN118757_c0_g1,K00164
TRINITY_DN98252_c0_g1,K01769
TRINITY_DN122673_c0_g1,K22262
TRINITY_DN121075_c0_g1,K03234
TRINITY_DN119711_c0_g1,K17800
TRINITY_DN93653_c0_g1,K11984
TRINITY_DN120778_c0_g1,K24747
TRINITY_DN119954_c1_g8,K10279
TRINITY_DN108106_c0_g1,K11182
TRINITY_DN114427_c1_g2,K01349
TRINITY_DN111625_c0_g1,K11374
TRINITY_DN121990_c0_g1,K01681
TRINITY_DN120692_c0_g1,K00207
TRINITY_DN120841_c0_g2,K20278
TRINITY_DN122215_c0_g4,K10289
TRINITY_DN110768_c0_g1,K18436
TRINITY_DN120488_c0_g3,K11658
TRINITY_DN115714_c0_g1,K03347
TRINITY_DN114724_c0_g2,K15305
TRINITY_DN111866_c0_g2,K05619
TRINITY_DN118766_c0_g2,K17592
TRINITY_DN97561_c0_g1,K08765
TRINITY_DN29944_c0_g1,K07515
TRINITY_DN111160_c0_g1,K08991
TRINITY_DN106454_c0_g1,K19009
TRINITY_DN104012_c1_g4,K06530
TRINITY_DN115589_c2_g1,K06530
TRINITY_DN116016_c0_g2,K22754
TRINITY_DN107504_c0_g1,K19680
TRINITY_DN113591_c0_g1,K17592
TRINITY_DN119675_c0_g5,K18083
TRINITY_DN117103_c0_g1,K24032
TRINITY_DN115389_c0_g1,K20294
TRINITY_DN118456_c0_g1,K22647
TRINITY_DN119525_c0_g3,K18667
TRINITY_DN119160_c0_g1,K06110
TRINITY_DN116871_c0_g2,K15297
TRINITY_DN113697_c0_g1,K06030
TRINITY_DN122506_c0_g1,K06842
TRINITY_DN119839_c0_g1,K05349
TRINITY_DN81672_c0_g1,K06532
TRINITY_DN117422_c0_g1,K06059
TRINITY_DN113016_c0_g1,K11126
TRINITY_DN121784_c1_g1,K24496
TRINITY_DN112408_c0_g1,K04497
TRINITY_DN164397_c0_g1,K22754
TRINITY_DN115625_c1_g4,K24932
TRINITY_DN110603_c0_g1,K14824
TRINITY_DN100211_c0_g1,K24652
TRINITY_DN110292_c0_g3,K04462
TRINITY_DN99426_c0_g1,K19530
TRINITY_DN120763_c0_g1,K00232
TRINITY_DN120140_c0_g11,K19501
TRINITY_DN120366_c2_g2,K02366
TRINITY_DN119184_c0_g2,K04707
TRINITY_DN119473_c0_g2,K18808
TRINITY_DN93974_c0_g1,K15255
TRINITY_DN108347_c0_g2,K11322
TRINITY_DN116075_c1_g2,K13912
TRINITY_DN117249_c0_g1,K05668
TRINITY_DN121818_c0_g5,K09228
TRINITY_DN123279_c1_g6,K05731
TRINITY_DN106538_c0_g1,K14402
TRINITY_DN119792_c0_g1,K10263
TRINITY_DN65601_c0_g1,K09174
TRINITY_DN111905_c0_g1,K01301
TRINITY_DN120082_c0_g3,K00820
TRINITY_DN118935_c0_g1,K14289
TRINITY_DN122718_c2_g1,K09488
TRINITY_DN109270_c0_g1,K06238
TRINITY_DN103017_c0_g1,K13293
TRINITY_DN113888_c0_g1,K12823
TRINITY_DN120482_c0_g3,K25400
TRINITY_DN119696_c0_g2,K24762
TRINITY_DN117752_c0_g1,K16059
TRINITY_DN121824_c1_g2,K24387
TRINITY_DN119843_c0_g1,K25178
TRINITY_DN116910_c0_g4,K12362
TRINITY_DN105374_c1_g1,K21440
TRINITY_DN117242_c0_g1,K21915
TRINITY_DN97144_c2_g1,K03258
TRINITY_DN120437_c2_g1,K11997
TRINITY_DN121548_c0_g1,K12231
TRINITY_DN91654_c0_g1,K12318
TRINITY_DN122476_c1_g3,K20053
TRINITY_DN114258_c0_g2,K08531
TRINITY_DN121651_c1_g1,K10313
TRINITY_DN121794_c4_g6,K19986
TRINITY_DN118596_c0_g1,K14836
TRINITY_DN111169_c1_g1,K19619
TRINITY_DN117598_c1_g4,K10380
TRINITY_DN116523_c0_g3,K05655
TRINITY_DN119457_c0_g1,K18808
TRINITY_DN116930_c0_g2,K01897
TRINITY_DN116415_c0_g2,K05679
TRINITY_DN114258_c0_g2,K08531
TRINITY_DN114717_c0_g1,K01183
TRINITY_DN123251_c4_g1,K05658
TRINITY_DN119255_c0_g2,K19655
TRINITY_DN119005_c0_g1,K00698
TRINITY_DN115841_c0_g1,K08469
TRINITY_DN119060_c0_g2,K15361
TRINITY_DN120642_c0_g2,K10683
TRINITY_DN119117_c0_g1,K03068
TRINITY_DN111495_c0_g1,K10260
TRINITY_DN115091_c0_g1,K16761
TRINITY_DN116319_c0_g1,K11651
TRINITY_DN119069_c1_g1,K15302
TRINITY_DN105535_c0_g4,K16061
TRINITY_DN121133_c0_g1,K05038
TRINITY_DN118725_c0_g1,K14283
TRINITY_DN111169_c1_g1,K19619
TRINITY_DN99651_c0_g2,K06515
TRINITY_DN113605_c0_g1,K25165
TRINITY_DN123118_c2_g1,K17592
TRINITY_DN109099_c0_g1,K01596
TRINITY_DN113638_c1_g1,K03514
TRINITY_DN116554_c0_g3,K20198
TRINITY_DN113511_c1_g3,K05038
TRINITY_DN119020_c1_g1,K25451
TRINITY_DN58795_c0_g1,K13859
TRINITY_DN109831_c0_g1,K20032
TRINITY_DN114404_c0_g2,K22766
TRINITY_DN112000_c0_g1,K00232
TRINITY_DN122180_c1_g2,K10612
TRINITY_DN122629_c1_g3,K21988
TRINITY_DN99771_c0_g1,K23088
TRINITY_DN119633_c0_g1,K05684
TRINITY_DN116021_c0_g5,K10380
TRINITY_DN108125_c0_g1,K10758
TRINITY_DN116499_c0_g1,K14403
TRINITY_DN110382_c0_g1,K00901
TRINITY_DN122206_c1_g1,K06114
TRINITY_DN113693_c1_g4,K15214
TRINITY_DN105651_c3_g7,K08574
TRINITY_DN109978_c0_g1,K05681
TRINITY_DN123979_c0_g1,K04567
TRINITY_DN119423_c0_g2,K23343
TRINITY_DN110911_c0_g1,K21124
TRINITY_DN119022_c0_g1,K09228
TRINITY_DN112730_c1_g4,K18743
TRINITY_DN119792_c0_g1,K10263
TRINITY_DN120595_c0_g2,K19360
TRINITY_DN110878_c0_g2,K14386
TRINITY_DN106836_c0_g1,K23957
TRINITY_DN102477_c0_g1,K04728
TRINITY_DN118981_c0_g1,K06233
TRINITY_DN116586_c0_g1,K08187
TRINITY_DN80671_c0_g1,K01179
TRINITY_DN72998_c0_g1,K13218
TRINITY_DN96259_c0_g1,K00615
TRINITY_DN113662_c0_g3,K05030
TRINITY_DN120999_c1_g3,K01260
TRINITY_DN115646_c0_g1,K04420
TRINITY_DN120546_c0_g3,K05038
TRINITY_DN117491_c0_g2,K15340
TRINITY_DN117977_c0_g2,K12572
TRINITY_DN107800_c0_g1,K12026
TRINITY_DN111449_c2_g2,K25397
TRINITY_DN113478_c0_g2,K18086
TRINITY_DN115573_c0_g4,K03211
TRINITY_DN119700_c1_g1,K11306
TRINITY_DN107364_c0_g1,K16586
TRINITY_DN117080_c0_g1,K16732
TRINITY_DN121594_c1_g2,K14755
TRINITY_DN111679_c0_g3,K01148
TRINITY_DN111482_c0_g1,K19511
TRINITY_DN121062_c0_g1,K10442
TRINITY_DN112560_c0_g1,K22985
TRINITY_DN115518_c0_g1,K23789
TRINITY_DN122718_c2_g1,K09488
TRINITY_DN115573_c0_g4,K03211
TRINITY_DN100035_c0_g1,K13912
TRINITY_DN117858_c0_g2,K10301
TRINITY_DN120060_c0_g2,K17094
TRINITY_DN123460_c6_g3,K10408
TRINITY_DN121455_c0_g2,K12604
TRINITY_DN103591_c0_g2,K14281
TRINITY_DN115091_c0_g1,K16761
TRINITY_DN110308_c0_g3,K08840
TRINITY_DN117531_c3_g2,K00461
TRINITY_DN103339_c0_g1,K08866
TRINITY_DN123226_c2_g2,K15261
TRINITY_DN111449_c2_g2,K25397
TRINITY_DN93997_c0_g1,K14156
TRINITY_DN116992_c0_g1,K00710
TRINITY_DN145391_c0_g1,K08054
TRINITY_DN121760_c0_g2,K16342
TRINITY_DN123390_c0_g1,K02374
TRINITY_DN92246_c0_g1,K06631
TRINITY_DN118604_c0_g2,K20042
TRINITY_DN118246_c0_g1,K10461
TRINITY_DN108823_c0_g3,K03175
TRINITY_DN109902_c0_g2,K06491
TRINITY_DN115472_c0_g3,K01125
TRINITY_DN120679_c0_g2,K09228
TRINITY_DN145183_c0_g1,K19532
TRINITY_DN107247_c0_g2,K05167
TRINITY_DN164264_c0_g1,K07611
TRINITY_DN120226_c0_g1,K20639
TRINITY_DN117568_c1_g1,K00387
TRINITY_DN123025_c2_g2,K12854
TRINITY_DN120158_c0_g1,K24970
TRINITY_DN115763_c0_g1,K13750
TRINITY_DN117466_c0_g1,K00698
TRINITY_DN116342_c0_g2,K01283
TRINITY_DN119767_c2_g1,K01179
TRINITY_DN98223_c0_g1,K14445
TRINITY_DN118604_c0_g2,K20042
TRINITY_DN120301_c0_g1,K23820
TRINITY_DN119327_c0_g3,K03131
TRINITY_DN119157_c0_g3,K20121
TRINITY_DN108610_c0_g1,K14387
TRINITY_DN119348_c0_g1,K25139
TRINITY_DN79843_c0_g1,K12035
TRINITY_DN123143_c2_g2,K01116
TRINITY_DN79771_c0_g1,K16060
TRINITY_DN118711_c3_g1,K24786
TRINITY_DN182313_c0_g1,K10691
TRINITY_DN121133_c0_g1,K05038
TRINITY_DN120516_c0_g1,K25610
TRINITY_DN120230_c2_g5,K00503
TRINITY_DN112100_c0_g1,K08111
TRINITY_DN114587_c0_g1,K15322
TRINITY_DN117066_c0_g1,K20242
TRINITY_DN107849_c0_g2,K12026
TRINITY_DN120204_c0_g1,K24023
TRINITY_DN118981_c0_g1,K06233
TRINITY_DN97702_c0_g1,K12026
TRINITY_DN118473_c0_g1,K12323
TRINITY_DN118649_c0_g1,K05129
TRINITY_DN100408_c0_g1,K21554
TRINITY_DN112565_c1_g1,K12813
TRINITY_DN121563_c2_g2,K00698
TRINITY_DN104777_c0_g1,K13278
TRINITY_DN109727_c0_g1,K08533
TRINITY_DN120975_c0_g1,K00876
TRINITY_DN90475_c0_g1,K12026
TRINITY_DN119157_c0_g3,K20121
TRINITY_DN114319_c0_g2,K12026
TRINITY_DN107650_c1_g3,K12035
TRINITY_DN95097_c0_g2,K21343
TRINITY_DN109300_c0_g2,K11089
TRINITY_DN104791_c0_g1,K18808
TRINITY_DN112953_c0_g1,K16060
TRINITY_DN111950_c2_g1,K12026
TRINITY_DN110917_c0_g1,K11291
TRINITY_DN119361_c0_g2,K09531
TRINITY_DN122048_c0_g1,K06267
TRINITY_DN113695_c0_g1,K10457
TRINITY_DN115401_c0_g2,K06942
TRINITY_DN200679_c0_g1,K09498
TRINITY_DN116407_c0_g1,K17108
TRINITY_DN163071_c0_g1,K12026
TRINITY_DN113106_c0_g1,K17890
TRINITY_DN164767_c0_g1,K02132
TRINITY_DN105724_c0_g1,K12026
TRINITY_DN37604_c0_g2,K14210
TRINITY_DN54154_c0_g1,K01359
TRINITY_DN120725_c2_g7,K11089
TRINITY_DN118674_c0_g3,K11089
TRINITY_DN205129_c0_g1,K09499
TRINITY_DN123201_c0_g1,K25607
TRINITY_DN113976_c0_g2,K14782
TRINITY_DN116303_c0_g1,K20100
TRINITY_DN119395_c0_g3,K00461
TRINITY_DN67993_c0_g2,K21598
TRINITY_DN112147_c0_g1,K03334
TRINITY_DN113695_c0_g1,K10457
TRINITY_DN120325_c0_g2,K08285
TRINITY_DN110272_c0_g2,K24524
TRINITY_DN114404_c0_g2,K22766
TRINITY_DN119090_c0_g1,K23332
TRINITY_DN117787_c1_g1,K08288
TRINITY_DN103555_c0_g3,K08202
TRINITY_DN122642_c0_g1,K22910
TRINITY_DN114774_c0_g6,K04437
TRINITY_DN113129_c0_g1,K00261
TRINITY_DN119051_c0_g2,K23295
TRINITY_DN95592_c0_g1,K00485
TRINITY_DN107196_c1_g9,K21919
TRINITY_DN100617_c0_g1,K23010
TRINITY_DN115606_c1_g3,K04501
TRINITY_DN108330_c0_g2,K16364
TRINITY_DN121981_c0_g3,K04510
TRINITY_DN115053_c0_g7,K13356
TRINITY_DN120195_c0_g1,K17922
TRINITY_DN117013_c0_g1,K04362
TRINITY_DN121030_c1_g1,K24456
TRINITY_DN110409_c0_g7,K00485
TRINITY_DN105831_c0_g1,K12611
TRINITY_DN30631_c0_g1,K01966
TRINITY_DN118247_c0_g1,K22754
TRINITY_DN7515_c0_g1,K09494
TRINITY_DN118483_c1_g1,K12605
TRINITY_DN107904_c0_g5,K16500
TRINITY_DN164629_c0_g1,K00261
TRINITY_DN121621_c0_g6,K10415
TRINITY_DN109466_c0_g1,K07739
TRINITY_DN116758_c0_g1,K16610
TRINITY_DN48710_c0_g2,K04725
TRINITY_DN111751_c0_g2,K10268
TRINITY_DN111185_c2_g1,K18655
TRINITY_DN114959_c0_g9,K02295
TRINITY_DN98537_c0_g1,K03372
TRINITY_DN109725_c0_g1,K03363
TRINITY_DN103799_c1_g1,K13748
TRINITY_DN113928_c0_g1,K10751
TRINITY_DN122398_c2_g4,K01965
TRINITY_DN97709_c0_g1,K08635
TRINITY_DN119826_c0_g3,K11089
TRINITY_DN120474_c0_g2,K05657
TRINITY_DN89892_c0_g2,K12580
TRINITY_DN116052_c1_g1,K20045
TRINITY_DN101298_c0_g1,K01565
TRINITY_DN106338_c0_g2,K09228
TRINITY_DN118232_c1_g1,K03513
TRINITY_DN112461_c0_g3,K12843
TRINITY_DN110596_c0_g1,K00318
TRINITY_DN87581_c0_g2,K07378
TRINITY_DN108748_c0_g2,K03714
TRINITY_DN119090_c0_g1,K23332
TRINITY_DN124584_c0_g1,K02133
TRINITY_DN115899_c0_g1,K01892
TRINITY_DN112113_c0_g1,K24808
TRINITY_DN113567_c0_g3,K04194
TRINITY_DN110110_c1_g5,K22827
TRINITY_DN115053_c0_g7,K13356
TRINITY_DN118358_c0_g4,K15338
TRINITY_DN121448_c0_g1,K16538
TRINITY_DN81930_c0_g1,K08155
TRINITY_DN112682_c0_g1,K12646
TRINITY_DN115899_c0_g1,K01892
TRINITY_DN109818_c0_g1,K01183
TRINITY_DN115013_c0_g2,K10416
TRINITY_DN109958_c0_g6,K01136
TRINITY_DN119528_c2_g1,K11089
TRINITY_DN121386_c0_g1,K23616
TRINITY_DN113527_c0_g7,K05617
TRINITY_DN114672_c0_g4,K23718
TRINITY_DN206999_c0_g1,K01897
TRINITY_DN101826_c0_g2,K03257
TRINITY_DN114307_c0_g4,K24254
TRINITY_DN120940_c0_g2,K14322
TRINITY_DN122912_c1_g4,K13886
TRINITY_DN115043_c0_g5,K11799
TRINITY_DN103917_c0_g1,K15179
TRINITY_DN119563_c0_g3,K20465
TRINITY_DN120684_c2_g1,K12838
TRINITY_DN120501_c2_g5,K23088
TRINITY_DN99074_c2_g1,K22371
TRINITY_DN114449_c0_g2,K04434
TRINITY_DN119230_c0_g4,K12352
TRINITY_DN95420_c0_g5,K18630
TRINITY_DN201054_c0_g1,K00088
TRINITY_DN115573_c0_g4,K03211
TRINITY_DN118380_c0_g1,K14389
TRINITY_DN122324_c0_g2,K00142
TRINITY_DN103297_c0_g1,K08074
TRINITY_DN87713_c0_g1,K08672
TRINITY_DN113965_c0_g2,K07426
TRINITY_DN113238_c0_g4,K10268
TRINITY_DN116601_c0_g1,K13868
TRINITY_DN118078_c0_g1,K03106
TRINITY_DN103917_c0_g1,K15179
TRINITY_DN117180_c0_g1,K00902
TRINITY_DN108448_c0_g1,K20780
TRINITY_DN67293_c0_g1,K24682
TRINITY_DN103991_c0_g1,K12301
TRINITY_DN111413_c2_g1,K04399
TRINITY_DN78079_c0_g1,K05038
TRINITY_DN118318_c0_g2,K10520
TRINITY_DN112763_c1_g2,K16811
TRINITY_DN120948_c0_g2,K09572
TRINITY_DN114953_c0_g1,K25374
TRINITY_DN113816_c0_g2,K11810
TRINITY_DN104605_c0_g1,K15446
TRINITY_DN95793_c0_g1,K12862
TRINITY_DN117559_c1_g11,K08875
TRINITY_DN116453_c0_g1,K07249
TRINITY_DN108221_c2_g1,K12026
TRINITY_DN85999_c0_g1,K18808
TRINITY_DN90537_c1_g1,K16449
TRINITY_DN119348_c0_g1,K25139
TRINITY_DN120076_c0_g2,K00747
TRINITY_DN120692_c0_g1,K00207
TRINITY_DN116462_c0_g2,K11969
TRINITY_DN111315_c0_g1,K10272
TRINITY_DN103859_c3_g1,K03424
TRINITY_DN120954_c0_g2,K00106
TRINITY_DN118773_c3_g1,K04194
TRINITY_DN110755_c0_g1,K00415
TRINITY_DN114226_c0_g2,K12306
TRINITY_DN113237_c0_g6,K07369
TRINITY_DN104089_c4_g4,K17256
TRINITY_DN115814_c0_g1,K24353
TRINITY_DN106739_c0_g1,K23049
TRINITY_DN59076_c0_g1,K23209
TRINITY_DN116545_c0_g2,K18808
TRINITY_DN115386_c3_g1,K14376
TRINITY_DN83836_c0_g2,K08175
TRINITY_DN112505_c2_g2,K13106
TRINITY_DN119530_c0_g3,K13146
TRINITY_DN98689_c0_g1,K24497
TRINITY_DN94108_c1_g1,K03242
TRINITY_DN115154_c0_g2,K08175
TRINITY_DN110298_c0_g1,K10408
TRINITY_DN119972_c0_g4,K23287
TRINITY_DN112376_c3_g1,K22291
TRINITY_DN107867_c0_g6,K00753
TRINITY_DN120698_c0_g1,K25572
TRINITY_DN112694_c0_g1,K11810
TRINITY_DN109271_c1_g2,K20123
TRINITY_DN117479_c1_g2,K05730
TRINITY_DN101376_c0_g1,K13748
TRINITY_DN118673_c0_g1,K14567
TRINITY_DN117050_c0_g1,K12778
TRINITY_DN96163_c0_g1,K17256
TRINITY_DN117734_c0_g1,K04409
TRINITY_DN108007_c0_g1,K24808
TRINITY_DN101487_c0_g1,K07437
TRINITY_DN91000_c0_g1,K05312
TRINITY_DN110356_c0_g1,K00736
TRINITY_DN116524_c0_g1,K23495
TRINITY_DN118604_c0_g2,K20042
TRINITY_DN110501_c0_g2,K12026
TRINITY_DN123080_c0_g1,K21853
TRINITY_DN112874_c0_g1,K15261
TRINITY_DN115837_c0_g2,K11206
TRINITY_DN65146_c0_g1,K15261
TRINITY_DN119466_c0_g4,K11173
